Gene Symbol	Alias(es)	Gene Name(s)
TAP2	transporter 2, ATP-binding cassette, sub-family B (MDR/TAP); PSF2,RING11,D6S217E	transporter 2, ATP binding cassette subfamily B member
TBX21	T-box 21; TBLYM,T-bet	T-box transcription factor 21
TCL1A	T cell leukemia/lymphoma 1A; TCL1	TCL1 family AKT coactivator A
TEK	angiopoietin-1 receptor; TIE2,TIE-2,VMCM1,CD202b; venous malformations, multiple cutaneous and mucosal,TEK tyrosine kinase, endothelial	TEK receptor tyrosine kinase
TFEB	TCFEB,bHLHe35	transcription factor EB
TGFB1	CED,TGFbeta; Camurati-Engelmann disease,prepro-transforming growth factor beta-1,Diaphyseal dysplasia 1, progressive; transforming growth factor, beta 1	transforming growth factor beta 1
TGFB2	transforming growth factor, beta 2; prepro-transforming growth factor beta-2	transforming growth factor beta 2
TGFB3	arrhythmogenic right ventricular dysplasia 1,transforming growth factor, beta 3; prepro-transforming growth factor beta-3	transforming growth factor beta 3
TGFBR1	activin A receptor type II-like kinase, 53kDa; multiple self-healing squamous epithelioma,transforming growth factor beta receptor I; ALK-5,ACVRLK4,ALK5,TBRI,TBR-i	transforming growth factor beta receptor 1
TGFBR2	transforming growth factor, beta receptor II (70/80kDa),transforming growth factor beta receptor II; TBRII,TBR-ii	transforming growth factor beta receptor 2
THBS1	TSP1,THBS,TSP,THBS-1,TSP-1; thrombospondin-1p180	thrombospondin 1
THBS2	TSP2	thrombospondin 2
TIE1	tyrosine kinase with immunoglobulin and epidermal growth factor homology domains 1,tyrosine kinase with immunoglobulin-like and EGF-like domains 1; JTK14	tyrosine kinase with immunoglobulin like and EGF like domains 1
TIGIT	VSIG9, VSTM3; FLJ39873,DKFZp667A205	T cell immunoreceptor with Ig and ITIM domains
TIMP1	tissue inhibitor of metalloproteinase 1 (erythroid potentiating activity, collagenase inhibitor); EPO	TIMP metallopeptidase inhibitor 1
TLR1	rsc786,KIAA0012,CD281; toll-like receptor 1	toll like receptor 1
TLR2	toll-like receptor 2; TIL4,CD282	toll like receptor 2
TLR3	CD283; toll-like receptor 3	toll like receptor 3
TLR4	toll-like receptor 4; hToll,CD284,TLR-4,ARMD10	toll like receptor 4
TLR5	systemic lupus erythematosus susceptibility 1,toll-like receptor 5; Toll/interleukin-1 receptor-like protein 3; TIL3,FLJ10052,MGC126430,MGC126431	toll like receptor 5
TLR7	toll-like receptor 7	toll like receptor 7
TLR8	CD288; toll-like receptor 8	toll like receptor 8
TM4SF1	transmembrane 4 superfamily member 1; L6	transmembrane 4 L six family member 1
TNF	TNF superfamily, member 2; tumor necrosis factor (TNF superfamily, member 2); TNFSF2,DIF,TNF-alpha	tumor necrosis factor
TNFAIP6	tumor necrosis factor, alpha-induced protein 6; TSG6,TSG-6	TNF alpha induced protein 6
TNFRSF10A	tumor necrosis factor receptor superfamily, member 10a; DR4,Apo2,TRAILR-1,CD261,TRAILR1	TNF receptor superfamily member 10a
TNFRSF10B	DR5,KILLER,TRICK2A,TRAIL-R2,TRICKB,CD262,TRAILR2; tumor necrosis factor receptor superfamily, member 10b	TNF receptor superfamily member 10b
TNFRSF10D	DcR2,TRUNDD,TRAILR4,CD264; tumor necrosis factor receptor superfamily, member 10d, decoy with truncated death domain	TNF receptor superfamily member 10d
TNFRSF11A	osteoclast differentiation factor receptor,receptor activator of nuclear factor kappa B,familial expansile osteolysis,TRANCE receptor; RANK,CD265,FEO,ODFR,TRANCE-R; tumor necrosis factor receptor superfamily, member 11a, activator of NFKB,Paget disease of bone 2,loss of heterozygosity, 18, chromosomal region 1,tumor necrosis factor receptor superfamily, member 11a, NFKB activator	TNF receptor superfamily member 11a
TNFRSF11B	osteoclastogenesis inhibitory factor; osteoprotegerin,tumor necrosis factor receptor superfamily, member 11b; OCIF,TR1	TNF receptor superfamily member 11b
TNFRSF12A	FN14,TweakR,CD266; tumor necrosis factor receptor superfamily, member 12A	TNF receptor superfamily member 12A
TNFRSF13B	TACI,CD267,IGAD2; tumor necrosis factor receptor superfamily, member 13B	TNF receptor superfamily member 13B
TNFRSF14	herpesvirus entry mediator; HVEM,ATAR,TR2,LIGHTR,HVEA,CD270; tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator),tumor necrosis factor receptor superfamily, member 14	TNF receptor superfamily member 14
TNFRSF17	BCM,CD269,TNFRSF13A; tumor necrosis factor receptor superfamily, member 17	TNF receptor superfamily member 17
TNFRSF18	tumor necrosis factor receptor superfamily, member 18; AITR,GITR,CD357	TNF receptor superfamily member 18
TNFRSF19	toxicity and JNK inducer; TAJ-alpha,TROY,TAJ,TRADE; tumor necrosis factor receptor superfamily, member 19	TNF receptor superfamily member 19
TNFRSF1A	tumor necrosis factor receptor superfamily, member 1A; TNF-R,TNFAR,TNFR60,TNF-R-I,CD120a,TNF-R55	TNF receptor superfamily member 1A
TNFRSF1B	tumor necrosis factor receptor superfamily, member 1B; TNFBR,TNFR80,TNF-R75,TNF-R-II,p75,CD120b	TNF receptor superfamily member 1B
TNFRSF21	death receptor 6; DR6,CD358; tumor necrosis factor receptor superfamily, member 21	TNF receptor superfamily member 21
TNFRSF4	tumor necrosis factor receptor superfamily, member 4; ACT35,OX40,CD134	TNF receptor superfamily member 4
TNFRSF9	tumor necrosis factor receptor superfamily, member 9; CD137,4-1BB	TNF receptor superfamily member 9
TNFSF10	TRAIL,Apo-2L,TL2,CD253; tumor necrosis factor (ligand) superfamily, member 10	TNF superfamily member 10
TNFSF12	tumor necrosis factor (ligand) superfamily, member 12; TWEAK,DR3LG,APO3L	TNF superfamily member 12
TNFSF13B	B-cell-activating factor,TNF and ApoL-related leukocyte expressed ligand 1,TNF homolog that activates apoptosis,B-lymphocyte stimulator; tumor necrosis factor (ligand) superfamily, member 13b; BAFF,THANK,BLYS,TALL-1,TALL1,CD257	TNF superfamily member 13b
TNFSF14	tumor necrosis factor (ligand) superfamily, member 14; LIGHT,LTg,HVEM-L,CD258	TNF superfamily member 14
TNFSF15	tumor necrosis factor (ligand) superfamily, member 15; TL1,VEGI,TL1A,VEGI192A,MGC129934,MGC129935; vascular endothelial cell growth inhibitor,TNF superfamily ligand TL1A,TNF ligand-related molecule 1,vascular endothelial growth inhibitor-192A	TNF superfamily member 15
TNFSF18	AITRL,TL6,hGITRL; tumor necrosis factor (ligand) superfamily, member 18	TNF superfamily member 18
TNFSF4	tax-transcriptionally activated glycoprotein 1, 34kD,tumor necrosis factor (ligand) superfamily, member 4; OX-40L,gp34,CD252	TNF superfamily member 4
TNFSF8	tumor necrosis factor (ligand) superfamily, member 8; CD153	TNF superfamily member 8
TNFSF9	tumor necrosis factor (ligand) superfamily, member 9; receptor 4-1BB ligand,homolog of mouse 4-1BB-L; 4-1BB-L,4-1BBL	TNF superfamily member 9
TOP2A	topoisomerase (DNA) II alpha 170kDa; TOP2alpha,TOPIIA	DNA topoisomerase II alpha
TOX	KIAA0808,TOX1	thymocyte selection associated high mobility group box
TP53	p53,LFS1; Li-Fraumeni syndrome	tumor protein p53
TPM1	chromosome 15 open reading frame 13,cardiomyopathy, hypertrophic 3,tropomyosin 1 (alpha)	tropomyosin 1
TPM2	DA1,NEM4; arthrogryposis multiplex congenital, distal, type 1,tropomyosin 2 (beta); nemaline myopathy type 4	tropomyosin 2
TPSAB1	tryptase alpha II,tryptase beta I,tryptase-I,tryptase-II,tryptase-III; tryptase beta 1	tryptase alpha/beta 1
TPSB2	tryptase beta 2 (gene/pseudogene); tryptase beta II,tryptase beta III	tryptase beta 2
TSC22D1	transforming growth factor beta 1 induced transcript 4,TSC22 domain family, member 1; TSC22,MGC17597	TSC22 domain family member 1
TSHZ2	ZABC2,OVC10-2,TSH2; chromosome 20 open reading frame 17,zinc finger protein 218,teashirt family zinc finger 2	teashirt zinc finger homeobox 2
TSLP		thymic stromal lymphopoietin
TTR	prealbumin, amyloidosis type I,carpal tunnel syndrome 1; HsT2651,CTS	transthyretin
TUBB	OK/SW-cl.56,MGC16435,M40,Tubb5; class I beta-tubulin,beta1-tubulin; tubulin, beta polypeptide,tubulin, beta,tubulin, beta class I	tubulin beta class I
TUBB4B	Beta2; class IVb beta-tubulin; tubulin, beta 2C	tubulin beta 4B class IVb
TWIST1	SCS,H-twist,BPES2,bHLHa38,CRS1; blepharophimosis, epicanthus inversus and ptosis 3,acrocephalosyndactyly 3,twist homolog 1 (Drosophila),twist basic helix-loop-helix transcription factor 1,craniosynostosis; Saethre-Chotzen syndrome	twist family bHLH transcription factor 1
TWIST2	twist homolog 2 (Drosophila),twist basic helix-loop-helix transcription factor 2; DERMO1,Dermo-1,bHLHa39	twist family bHLH transcription factor 2
TXK	TKL,PSCTK5,BTKL,RLK; PTK4 protein tyrosine kinase 4	TXK tyrosine kinase
TYK2	JTK1	tyrosine kinase 2
TYMS	Tsase,TMS,HsT422	thymidylate synthetase
TYROBP	polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy,TYRO protein tyrosine kinase binding protein; DAP12,PLO-SL,KARAP; killer activating receptor associated protein,DNAX-activation protein 12,DNAX adaptor protein 12	transmembrane immune signaling adaptor TYROBP
UBE2C	UBCH10; ubiquitin-conjugating enzyme E2C	ubiquitin conjugating enzyme E2 C
UCP1	SLC25A7; uncoupling protein 1 (mitochondrial, proton carrier)	uncoupling protein 1
UPK3A	uroplakin 3	uroplakin 3A
VCAM1	CD106	vascular cell adhesion molecule 1
VCAN	chondroitin sulfate proteoglycan 2; PG-M; versican proteoglycan	versican
VEGFA	VEGF-A,VPF; vascular endothelial growth factor	vascular endothelial growth factor A
VEGFB	VEGFL	vascular endothelial growth factor B
VEGFC	vascular endothelial growth factor-related protein; VRP,VEGF-C	vascular endothelial growth factor C
VEGFD	c-fos induced growth factor (vascular endothelial growth factor D); VEGF-D	vascular endothelial growth factor D
VHL	von Hippel-Lindau syndrome,von Hippel-Lindau tumor suppressor, E3 ubiquitin protein ligase; VHL1	von Hippel-Lindau tumor suppressor
VIM		vimentin
VPREB3	8HS20; pre-B lymphocyte 3	V-set pre-B cell surrogate light chain 3
VSIR	SISP1,GI24,B7-H5,B7H5,VISTA,PD-1H,Dies1; stress induced secreted protein 1,V-domain Ig suppressor of T cell activation,PDCD1 homolog; chromosome 10 open reading frame 54	V-set immunoregulatory receptor
VTN	vitronectin (serum spreading factor, somatomedin B, complement S-protein); VN; serum spreading factor,somatomedin B,complement S-protein	vitronectin
VWF		von Willebrand factor
WIF1		WNT inhibitory factor 1
WNT10B	wingless-type MMTV integration site family, member 10B; WNT-12,SHFM6	Wnt family member 10B
WNT11	wingless-type MMTV integration site family, member 11	Wnt family member 11
WNT2	IRP; wingless-type MMTV integration site family member 2; secreted growth factor	Wnt family member 2
WNT2B	XWNT2; wingless-type MMTV integration site family, member 2B; XWNT2, Xenopus, homolog of,wingless-type MMTV integration site family, member 13	Wnt family member 2B
WNT3	wingless-type MMTV integration site family, member 3; MGC131950,MGC138321,MGC138323; WNT-3 proto-oncogene protein	Wnt family member 3
WNT5A	hWNT5A; WNT-5A protein; wingless-type MMTV integration site family, member 5A	Wnt family member 5A
WNT5B	wingless-type MMTV integration site family, member 5B	Wnt family member 5B
WNT7A	wingless-type MMTV integration site family, member 7A; proto-oncogene Wnt7a protein; Wnt-7a	Wnt family member 7A
WNT7B	wingless-type MMTV integration site family, member 7B	Wnt family member 7B
WNT9A	wingless-type MMTV integration site family, member 14,wingless-type MMTV integration site family, member 9A	Wnt family member 9A
XBP1		X-box binding protein 1
XCL1	lymphotactin; small inducible cytokine subfamily C, member 1 (lymphotactin),chemokine (C motif) ligand 1; LPTN,ATAC,SCM-1a,SCM-1	X-C motif chemokine ligand 1
XCL2	small inducible cytokine subfamily C, member 2,chemokine (C motif) ligand 2; SCM-1b	X-C motif chemokine ligand 2
YBX3	cold-shock domain containing A1; dbpA,ZONAB,CSDA1; cold shock domain protein A	Y-box binding protein 3
YES1	Yes,c-yes,HsT441; v-yes-1 Yamaguchi sarcoma viral oncogene homolog 1	YES proto-oncogene 1, Src family tyrosine kinase
ZFP36	zinc finger protein 36, C3H type, homolog (mouse); tristetraprolin; RNF162A,TIS11,G0S24,TTP,NUP475	ZFP36 ring finger protein
